Location name,Location,Describe,Evaluate,Image,Keywords
Cam Ranh Long Beach,Khanh Hoa,"Pristine beach with natural beauty, ideal for relaxing and swimming",4.8/5,https://www.uncovervietnam.com/wp-content/uploads/2021/06/bai-dai-beach-cam-ranh-vietnam.jpg,"""sea"", ""play"", ""take photos"", ""relax"""
Ponagar Tower,Khanh Hoa,"Ancient Cham architectural work, where visitors can learn about Cham history and culture",4.5/5,https://tse4.mm.bing.net/th?id=OIP.OHY4mpZ7m_uKpGiC1e9D8wHaF7&pid=Api&P=0&h=220,"""sightseeing"", ""tower"", ""photography"", ""monuments"", ""culture"""
Dien Khanh ancient citadel,Khanh Hoa,"Historical site with unique ancient citadel architecture, built during the Nguyen Dynasty.",4.5/5,https://tse2.mm.bing.net/th?id=OIP.BzA87w8zdYgM0o41HtKQCQHaFj&pid=Api&P=0&h=220,"""sightseeing"", ""monuments"", ""history"", ""photography"", ""culture"""
VinWonders Nha Trang,Khanh Hoa,"The amusement park on Hon Tre Island, stands out with many exciting games and activities.",4.6/5,https://tse1.mm.bing.net/th?id=OIP.5z6-9r5crvDbj01RkeQO2gHaDv&pid=Api&P=0&h=220,"""park"", ""play"", ""entertainment"", ""photography"""
Ba Ho Stream,Khanh Hoa,"Consists of three clear blue lakes located on the mountain, suitable for trekking and bathing in streams",4.3/5,https://cdn1.nhatrangtoday.vn/images/photos/kdl-ba-ho-nha-trang-2.jpg,"""stream"", ""photography"", ""play"""
Phu Quoc Island,Kien Giang,"Is the most famous tourist destination in Kien Giang, known as the ""Pearl Island"" with many beautiful beaches and high-class services.",4.8/5,https://vietnam.travel/sites/default/files/inline-images/du-lich-phu-quoc-thang-10-.jpeg,"""island"", ""sea"", ""photography"", ""relaxation"", ""fun"", ""eating"""
Mui Nai Beach,Kien Giang,"Gentle beach, ideal place to relax and watch the sunset",4.7/5,https://tse1.mm.bing.net/th?id=OIP.Ya_axd_TszOeEk3QppjKMwHaFj&pid=Api&P=0&h=220,"""sea"", ""play"", ""take photos"", ""relax"""
Lang Cat Pagoda,Kien Giang,The ancient temple bears a strong Buddhist imprint.,4.4/5,https://tse4.mm.bing.net/th?id=OIP.8FZLE40kihfcd4nTAkjEZQHaFj&pid=Api&P=0&h=220,"""temple"" , ""sightseeing"" , ""culture"""
U Minh Thuong National Park,Kien Giang,Mangrove forests with a rich ecosystem are an ideal place to explore wild nature and visit by boat,4.6/5,https://nucuoimekong.com/wp-content/uploads/vuon-quoc-gia-u-minh-thuong-toan-canh.jpg,"""forest"", ""sightseeing"", ""taking photos"""
Sister Su's grave,Kien Giang,"Famous historical site, associated with the resistance war against the French.",4.4/5,https://tse2.mm.bing.net/th?id=OIP.TzRGCJsnEfeGXnPqQQFTLgHaFj&pid=Api&P=0&h=220,"""relics"", ""history"","
Kon Tum Wooden Church,Where are you?,A symbol of Kon Tum with unique architecture blending Roman style and Central Highlands culture,4.4/5,https://tse1.mm.bing.net/th?id=OIP.RzH7A5ksQ9692U5WrfW10gHaFu&pid=Api&P=0&h=220,"""religion"", ""sightseeing"", ""photography"", ""culture"","
Kon Klor Suspension Bridge,Where are you?,"The largest and most beautiful suspension bridge in Kon Tum, spanning the Dak Bla River, surrounded by green rice fields and mountains",4.6/5,https://kontumtrip.com/wp-content/uploads/2021/03/cau-treo-kon-klor-%E2%80%98dai-lua-mau-cam-ben-dong-dak-bla-1615296514-600x600.jpg,"""suspension bridge"", ""photography"", ""sightseeing"""
Chu Mom Ray National Park,Where are you?,"It is the largest nature reserve in Vietnam, featuring a rich ecosystem, primeval forests and rare animals.",4.5/5,https://tse3.mm.bing.net/th?id=OIP.QOcHIfacwNqsrxuaNNlZ4gHaEr&pid=Api&P=0&h=220,"""forest"", ""sightseeing"", ""taking photos"""
Ngoc Linh Peak,Where are you?,"The highest mountain in the Central Highlands, in the Truong Son range, is home to many rare flora and fauna species.",4.4/5,https://tse4.mm.bing.net/th?id=OIP.yYzLVlMeUpU6vk_7d0gLjAHaE8&pid=Api&P=0&h=220,"""mountain"", ""exploration"", ""photography"""
Dak To Waterfall,Where are you?,"Located near Dak To town, this waterfall is wild and peaceful, an ideal place to relax in nature.",4.3/5,https://cdn.tgdd.vn/Files/2023/09/11/1546829/du-lich-dak-to-kon-tum-di-dau-5-dia-diem-duoc-yeu-thich-202309112252096063.jpg,"""waterfall"", ""stream"", ""sightseeing"", ""photography"""
O Quy Ho Pass,Lai Chau,"One of the ""Four Great Passes"" of the Northwest, O Quy Ho Pass connects Lao Cai and Lai Chau, famous for its beautiful scenery and majestic heights.",4.5/5,https://www.kynghidongduong.vn/userfiles/images/Vietnam/Sapa/deo-o-quy-ho-sapa-kynghidongduong.vn%20(02).jpg,"""pass"", ""sightseeing"", ""taking photos"""
Pu Ta Leng peak,Lai Chau,"The second highest mountain peak in Vietnam (3,049m), belongs to the Hoang Lien Son range, known as the ""second roof"" of Indochina.",4.6/5,https://tse4.mm.bing.net/th?id=OIP.BiJgl7PpikStQvCnsbFBnQHaEc&pid=Api&P=0&h=220,"""mountain"" , ""exploration"" , ""photography"" , ""explore"""
Muong Than fields,Lai Chau,"During the ripe rice season, Muong Than fields are brilliantly golden, creating a poetic natural picture",4.7/5,https://tse2.mm.bing.net/th?id=OIP.9LboGnBOwneYQW4KMBKl9gHaEK&pid=Api&P=0&h=220,"""field"" , ""photography"" , ""sightseeing"""
Lai Chau Hydroelectric Lake,Lai Chau,"The giant artificial lake was created by the Lai Chau Hydroelectric project, located amidst the romantic mountain scenery.",4.5/5,https://tse2.mm.bing.net/th?id=OIP.l_QHXHqnrJUG2mNIawZdzAHaFj&pid=Api&P=0&h=220,"""hydroelectric lake"", ""sightseeing"", ""photography"""
Sin Ho market,Lai Chau,"The place where bustling trading activities of the Thai, H'Mong, Dao, Lu ethnic groups take place...",4.3/5,https://tse3.mm.bing.net/th?id=OIP.DttHClSeqyAUJH2yDY5JVAHaE7&pid=Api&P=0&h=220,"""market"", ""dining"", ""sightseeing"", ""culture"""
Xuan Huong Lake,Lam Dong,"A symbol of Da Lat, the lake is located right in the city center, surrounded by pine forests and flower gardens.",4.7/5,https://tse3.mm.bing.net/th?id=OIP.chmIO_bl-TWTEivpGFWdCAHaFj&pid=Api&P=0&h=220,"""Lake"", ""photography"", ""sightseeing"", ""fun"""
Truc Lam Zen Monastery,Lam Dong,"A famous Zen monastery located near Tuyen Lam Lake, with pure architecture and peaceful space.",4.6/5,https://tse1.mm.bing.net/th?id=OIP.0pUp5Fpj3xerMHL6wzKj_QHaFj&pid=Api&P=0&h=220,"""temple"" , ""sightseeing"" , ""culture"""
Da Lat Night Market,Lam Dong,"Da Lat Night Market is where you can enjoy specialties such as grilled rice paper, soy milk and buy souvenirs.",4.8/5,https://tse3.mm.bing.net/th?id=OIP.nBiR1UiYs6NlbrXhm_FL5wHaE6&pid=Api&P=0&h=220,"""market"", ""dining"", ""sightseeing"", ""culture"""
Bao Dai Palace,Lam Dong,"One of the three palaces of King Bao Dai in Da Lat, with exquisite French architectural style.",4.5/5,https://tse3.mm.bing.net/th?id=OIP.FGJV3cBpn9MxjuFGoEEKZAHaE8&pid=Api&P=0&h=220,"""relics"", ""history"", ""culture"", ""sightseeing"", ""photography"""
Elephant Falls,Lam Dong,"Located in Nam Ban, Elephant Waterfall is majestic and wild, an ideal place for those who love to explore nature.",4.5/5,https://agotourist.com/wp-content/uploads/2022/05/thac-voi-duoc-chung-nhan-la-thang-canh-quoc-gia.jpg,"""waterfall"", ""stream"", ""sightseeing"", ""photography"""
Tam Thanh Cave,Lang Son,"Dubbed the ""First Eight Scenes of Lang Land"", it has interesting stalactites and many ancient relics such as the 2m high Amitabha Buddha statue carved in the 15th century.",4.2/5,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/03/Tam-Thanh.jpg,"""caving"", ""sightseeing"", ""exploring"", ""taking photos"""
Dong Kinh Market,Lang Son,"It is the largest commercial center in Lang Son, famous for its diverse products",4.5/5,https://tse2.mm.bing.net/th?id=OIP.jIAxzffR49430SWWKToE6wHaEx&pid=Api&P=0&h=220,"""market"", ""dining"", ""sightseeing"", ""culture"", ""shopping"""
